Operator Number,Operator Name,Location,Leases
008380,ADOBE OIL & GAS CORP.,"Houston, TX 77057",
018010,"AMERICAN CRUDE, INC.","Houston, TX 77002",
020215,AMINOIL USA INC.,"Midland, TX 79701",
020425,AMOCO PRODUCTION COMPANY,"Houston, TX 77253",
020521,AMTEX ENERGY,"Midland, TX 79702",
035633,ATAPCO,"Houston, TX 77040",
053106,"BARRETT BROTHERS OIL & GAS, INC.","San Antonio, TX 78217",
058893,"BC OPERATING, INC.","Midland, TX 79710",
061142,BECHTEL ENERGY RESOURCES CORP.,"Houston, TX 77210",
062673,BELCO ENERGY CORP.,"Dallas, TX 75231",
074004,"BLAIR EXPLORATION, INC.","Midland, TX 79702",
075355,BLANKS ENERGY CORPORATION,"Midland, TX 79702",
076782,"BLUE RIDGE RESOURCES, LLC","Midland, TX 79710",
089974,BRECK OPERATING CORP.,"Breckenridge, TX 76424",
092480,BRIDWELL OIL CO.,"Wichita Falls, TX 76307",128
097481,BROTHERS PRODUCTION COMPANY,"Midland, TX 79708",
100268,"BROWN, H. L., JR.","Midland, TX 79702",
100263,"BROWN, H.L. OPERATING, L.L.C.","Midland, TX 79702",14
041860,BTA OIL PRODUCERS,"Midland, TX 79701",
108799,"BURK ROYALTY CO., LTD.","Wichita Falls, TX 76308",1014
124828,CALLON PETROLEUM OPERATING CO,"Houston, TX 77042",
127700,CAMPANA PETROLEUM COMPANY,"Midland, TX 79705",
129008,"CANAN MOWREY OPERATING, LLC","Wichita Falls, TX 76308",29
132340,CARLOW CORP.,"Midland, TX 79702",
142320,CHALLENGER MINERALS INC.,"Houston, TX 77079",
143750,CHAMPLIN PETROLEUM CO.,"Houston, TX 77002",
146680,CHARTER PETROLEUM COMPANY,"Abilene, TX 79605",2
147715,"CHESAPEAKE OPERATING, INC.","Oklahoma City, OK 73154",
150683,"CHOLLA PETROLEUM, INC.","Dallas, TX 75225",95
154375,CITIES SERVICE OIL & GAS CORP.,"Tulsa, OK 74102",
161360,CMS OIL AND GAS COMPANY,"Jackson, MI 49201",
164448,"CODA ENERGY, INC.","Dallas, TX 75231",
172230,CONOCO INC.,"Houston, TX 77252",
182057,COTTON PETROLEUM CORP.,"Tulsa, OK 74102",
186463,"CRAIG, EARLE M. JR. CORP.","Midland, TX 79702",
191535,CROWN EXPLORATION COMPANY,"Abilene, TX 79605",
195651,"CUSTER & WRIGHT OPERATING, INC.","Midland, TX 79702",2
195938,D & D ENTERPRISES,"Post, TX 79356",14
201240,DAS OIL CO. L.L.C.,"Post, TX 79356",17
216378,"DEVON ENERGY PRODUCTION CO, L.P.","Oklahoma City, OK 73102",693
216990,DIAMOND CHEMICALS COMPANY,"Amarillo, TX 79173",
216995,DIAMOND SHAMROCK EXPLORATION CO.,"Amarillo, TX 79173",
220630,"DILLINGHAM ENERGY RESOURCES, INC","Houston, TX 77079",
233895,"DUNIGAN OPERATING COMPANY, INC.","Austin, TX 78755",1
251726,ENDEAVOR ENERGY RESOURCES L.P.,"Midland, TX 79701",1182
251926,ENERGAS COMPANY,"Lubbock, TX 79408",
251869,"ENERGY & EXPL. PRTNRS OPER., LP","Fort Worth, TX 76147",
252131,"ENERVEST OPERATING, L.L.C.","Houston, TX 77002",
253210,"ENSERCH EXPLORATION, INC","Dallas, TX 75206",
253275,EP OPERATING COMPANY,"Dallas, TX 75201",
253229,EP OPERATING LIMITED PARTNERSHIP,"Dallas, TX 75201",
254850,ESTORIL PRODUCING CORPORATION,"Midland, TX 79701",
257097,EXXON CORP.,"Houston, TX 77210",
257680,FAGADAU ENERGY CORPORATION,"Dallas, TX 75206",
263695,"FASKEN, BARBARA","Midland, TX 79701",
268321,FINA OIL & CHEMICAL COMPANY,"Dallas, TX 75221",
271610,FLAG-REDFERN OIL COMPANY,"Midland, TX 79702",
273920,"FLINN, JAMES L.","Midland, TX 79704",
278837,"FORZA OPERATING, LLC","The Woodlands, TX 77380",9
291586,"FURIE OPERATING, LLC","League City, TX 77573",
304280,GIEBEL PETROLEUM LTD.,"Midland, TX 79705",
310387,GLOBAL ENERGY OPERATING LLC,"Colorado SPGS, CO 80935",
100856,GOODIE INTERESTS,"Sugar Land, TX 77478",2
324700,GRAND BANKS ENERGY COMPANY,"Fort Worth, TX 76102",
331535,GREENWICH OIL CORPORATION,"Dallas, TX 75225",
333925,GRIFFIN PETROLEUM COMPANY,"Midland, TX 79705",2
337108,"GRUSS PETROLEUM MANAGEMENT, INC.","New York, NY 10022",
337080,"GTG OPERATING, LLC","Tyler, TX 75702",98
347243,HALVEY ENERGY CO.,"Midland, TX 79702",
356795,HARDWICK OIL COMPANY,"Sugar Land, TX 77478",
401731,HORST ENERGY LLC,"Fort Worth, TX 76124",
341598,"HW OPERATING, LLC","Wichita Falls, TX 76308",16
433122,JMK PETROLEUM CORP.,"Dallas, TX 75251",
447850,"JOURNEY OPERATING, L.L.C.","Sugar Land, TX 77496",
450645,"KANEB OPERATING COMPANY, LTD.","Houston, TX 77210",
454620,"KELLOIL, INC.","Fort Worth, TX 76121",
458490,KEWANEE OIL COMPANY,"Unknown, XX 99999",
460397,KILLER RABBIT FIELDS LLC,"Monahans, TX 79756",
461550,"KILROY COMPANY OF TEXAS, INC.","Houston, TX 77010",
462948,"KIMBROUGH ENGINEERING CO, LLC","New Braunfels, TX 78132",
463318,KINDER MORGAN PRODUCTION CO LP,"Midland, TX 79701",
477311,KRF PRODUCTION COMPANY LLC,"Austin, TX 78746",1
479410,L & B OIL CO. INC.,"Houston, TX 77002",
480879,"LACY & BYRD, INC.","Midland, TX 79702",
480930,"LACY, R., INC.","Longview, TX 75606",
491403,"LAYTON EXPLORATION, INC.","Odessa, TX 79760",
495313,LEEPER OIL EXP. & PROD. INC.,"Midland, TX 79701",
495310,"LEEPER, ALAN B.","Midland, TX 79701",
507244,LONE STAR OIL & GAS,"Midland, TX 79702",3
510305,"LOVELADY, IKE INC.","Midland, TX 79702",
516247,"LYNX ENERGY COMPANY, INC.","Dallas, TX 75201",
518380,M & H OIL CO.,"Fort Worth, TX 76102",
521980,MAGUIRE OIL COMPANY,"Dallas, TX 75270",
524897,MANTI OPERATING COMPANY,"Covington, LA 70435",
524896,MANTI OPERATING/RISING STAR,"Corpus Chrsti, TX 78403",
525320,"MARALO, INC.","Midland, TX 79702",
527850,"MARSHALL & WINSTON, INC.","Midland, TX 79710",2
537442,"MCBEE COMPANY, THE","Dallas, TX 75219",
540703,"MCCLURE OIL COMPANY, INC.","Midland, TX 79701",70
547864,MCDONALD PRODUCTION,"Lubbock, TX 79408",
547870,"MCDONALD PRODUCTION, LLC","Lubbock, TX 79408",
559680,"MENDENHALL, R.A. ASSOCIATES, LTD","Midland, TX 79710",
561132,MERIDIAN OIL INC.,"Houston, TX 77210",
561136,MERIT ENERGY COMPANY,"Dallas, TX 75240",1685
562560,MEWBOURNE OIL COMPANY,"Tyler, TX 75711",981
570655,MITCHELL ENERGY CORPORATION,"Houston, TX 77002",
572550,MOBIL PRODUCING TX. & N.M. INC.,"Spring, TX 77389",
572490,MOBIL-GC CORP.,"Houston, TX 77001",
576910,MONSANTO COMPANY,"Alvin, TX 77511",
576914,MONSANTO OIL COMPANY,"Houston, TX 77056",
593920,MURCHISON OIL & GAS INC,"Plano, TX 75024",
601738,NEARBURG PRODUCING COMPANY,"Dallas, TX 75380",
606730,NEWMAN BROTHERS DRILLING COMPANY,"San Antonio, TX 78205",
613546,NORTH AMERICAN PETRO CORP USA,"Mandeville, LA 70471",
598450,NRM PETROLEUM CORP.,"Dallas, TX 75201",
617549,"OCEAN ENERGY, INC.","Houston, TX 77002",
621061,OILROX RESOURCES LLC,"San Antonio, TX 78258",
622620,OMAR OPERATING COMPANY,"Midland, TX 79702",
622718,"OMIMEX ENERGY, INC.","Fort Worth, TX 76120",
634147,PAGE EXPLORATION,"Midland, TX 79701",
635475,PALMER OIL PROPERTIES,"Post, TX 79356",15
643403,PATRIOT PRODUCTION LLC,"Southlake, TX 76092",
648717,PECCARY CORPORATION,"Lubbock, TX 79453",
652345,"PENNZENERGY EXP. & PROD., L.L.C.","Houston, TX 77210",
652352,PENNZOIL EXPLORATION & PROD. CO.,"Carthage, TX 75633",
652365,PENNZOIL PETROLEUM COMPANY,"Houston, TX 77252",
653275,PERENCO INC.,"Houston, TX 77002",
653280,PERENCO LLC,"Houston, TX 77002",
655835,"PERMIAN RESOURCES, INC.","Midland, TX 79702",
661322,"PHARAOH OIL & GAS, INC.","MC Camey, TX 79752",
684427,"Q NATURAL RESOURCES, LLC","Jones, OK 73049",13
684525,"QUALIA, C. F.","Midland, TX 79701",
684838,"QUIEN SABE OPERATING, LLC","Sundown, TX 79372",
687492,R & S OIL PROPERTIES,"Slaton, TX 79364",
694863,"RAW OIL & GAS, INC.","Lubbock, TX 79401",15
696090,"REATTA ENERGY, INC.","Midland, TX 79702",27
698765,REGENCY PETROLEUM CO.,"Irving, TX 75016",
712976,"RISING STAR ENERGY, L.L.C.","Dallas, TX 75219",
718770,"ROBERTSON RESOURCES, INC.","Midland, TX 79708",83
724620,"ROFF OPERATING COMPANY, LLC","Houston, TX 77002",9
728255,"ROSELAND OIL & GAS, INC.","Rockwall, TX 75087",
732309,"RUBICON OIL & GAS, LLC","Midland, TX 79701",6
748186,SANTO OPERATING LLC,"Houston, TX 77002",
760700,"SDX RESOURCES, INC.","Midland, TX 79705",11
761707,SEAGULL MIDCON INC.,"Houston, TX 77002",
767967,SHA-JAM OPERATING CORP.,"Midland, TX 79701",
768650,"SHAIDA, JOHN H.","Wichita, KS 67226",13
771625,"SHAW, HENRY JR.","Midland, TX 79702",
773840,SHELL OIL COMPANY,"Houston, TX 77082",
774719,SHELL WESTERN E&P,"Houston, TX 77001",
775563,SHENANDOAH PETROLEUM CORPORATION,"Midland, TX 79705",25
775564,SHENANDOAH RESOURCES LLC,"Houston, TX 77086",
785141,"SIX D OIL COMPANY, INC.","Post, TX 79356",
788997,SM ENERGY COMPANY,"Midland, TX 79707",843
790956,SMITH ENERGY OPERATING COMPANY,"Lubbock, TX 79423",30
805630,SOUTHLAND ROYALTY COMPANY,"Houston, TX 77210",
806470,"SOUTHWEST ROYALTIES, INC.","Midland, TX 79710",61
809927,SPIRAL ENERGY CORP.,"Midland, TX 79705",
810842,"SSC, INC.","Lubbock, TX 79408",
810874,ST. MARY LAND & EXPLORATION CO.,"Denver, CO 80201",
817396,"STELZER, E.A. OIL COMPANY","Post, TX 79356",
817550,"STEPHENS, AUTRY C.","Midland, TX 79701",
829445,SUN EXPL. & PROD. CO.-MIDLAND,"Midland, TX 79702",
837295,TAYLOR-LINK OPERATING CO.,"Midland, TX 79702",
841500,TENNECO OIL CO.,"Houston, TX 77205",
842983,"TEON MANAGEMENT, LLC","Midland, TX 79704",
843265,TERRACE PETROLEUM CORPORATION,"Midland, TX 79701",
843390,TERRELL OIL & GAS PRODUCTION CO.,"Hamlin, TX 79520",16
846860,TEXAS OIL & GAS CORP.,"Dallas, TX 75201",
849735,"TEXLAND PETROLEUM, L.P.","Fort Worth, TX 76107",176
857911,"THREE SPAN OIL & GAS, INC.","Midland, TX 79710",43
860902,"TMBR/SHARP DRILLING, INC.","Midland, TX 79703",
861685,"TOLTEC OIL & GAS, INC.","Dallas, TX 75240",
868670,"TRIAG ENERGY OPERATING, INC.","Midland, TX 79701",
872440,"TUCKER DRILLING COMPANY, INC.","San Angelo, TX 76903",
875642,ULTRAMAR OIL AND GAS LIMITED,"Houston, TX 77090",
875595,UMC PETROLEUM CORPORATION,"Houston, TX 77002",
877060,UNION TEXAS PETROLEUM CORP.,"Houston, TX 77252",
877099,UNIT PETROLEUM COMPANY,"Tulsa, OK 74170",121
877447,"UNITED OPERATING, LLC ***","Midland, TX 79710",
879035,"URBAN OIL & GAS GROUP, LLC","Plano, TX 75074",166
875630,"UV INDUSTRIES, INC.","Salt Lake Cty, UT 84111",
881306,VALLA ENERGY CORPORATION,"Odessa, TX 79762",
891075,"WAGNER & BROWN, LTD.","Midland, TX 79702",
895060,"WALSH & WATTS, INC.","Aledo, TX 76008",180
911640,WESTCO OIL COMPANY,"Ozona, TX 76943",
911661,WESTCO PRODUCING COMPANY,"Ozona, TX 76943",
912210,WESTERN RESERVES OIL CO.,"Midland, TX 79702",
912220,WESTERN RESERVES OIL COMPANY INC,"Midland, TX 79705",
914230,WHEELER OIL COMPANY,"Fort Worth, TX 76102",
914263,WHEELER OPERATING CORPORATION,"Fort Worth, TX 76101",4
914330,"WHEELER, W. RIDLEY, EST.","Fort Worth, TX 76109",
916958,"WHITE ROCK OIL & GAS, LLC","Plano, TX 75024",182
100109,"Winn Operating, LLC","Kilgore, TX 75663",66
888256,WMS OIL COMPANY,"Post, TX 79356",
939296,WOODS PETROLEUM CORPORATION,"Dallas, TX 75201",
945994,XERIC OIL & GAS CORPORATION,"Midland, TX 79702",
946195,YATES ENERGY CORPORATION,"Roswell, NM 88202",8
949290,"YOUNG, MARSHALL R., OIL CO.","Fort Worth, TX 76107",
950335,"YUCCA ENERGY, INC.","Midland, TX 79702",13
