Operator Number,Operator Name,Location,Leases
000894,"ABACO OPERATING, LLC","San Antonio, TX 78209",26
003596,ACOCK OPERATING LIMITED,"San Antonio, TX 78270",
010410,"ALANIZ, ERNEST","Alice, TX 78333",
019365,"AMERICAN SHORELINE, INC.","Corpus Chrsti, TX 78401",1
020425,AMOCO PRODUCTION COMPANY,"Houston, TX 77253",
022995,"ANDERSON,T.G. & BOWMAN,E.L.","Houston, TX 77079",
025640,"ANSCHUTZ CORPORATION, THE","Houston, TX 77010",
025642,ANSCHUTZ EXPLORATION CORPORATION,"Denver, CO 80202",
027200,APACHE CORPORATION,"Houston, TX 77042",1552
028656,API OPERATING CO.,"Houston, TX 77036",
039530,"AYRES, GEORGE C.","Houston, TX 77002",
040753,"B & M OPERATING CO., INC.","Houston, TX 77006",
051290,"BARNETT ENERGY, INC.","The Colony, TX 75056",31
063857,"BELLOWS OPERATING CO., L. C.","Goliad, TX 77963",
068360,"BETTIS, BOYLE & STOVALL","Graham, TX 76450",
074563,"BLAKENERGY OPERATING, LLC","Spring, TX 77386",9
092800,"BRIGHAM OIL & GAS, L.P.","Austin, TX 78730",
096490,BROKEN HILL PTY HLDGS (USA) INC.,"Greenwood VLG, CO 80111",
103564,"BRUINGTON OPERATING, L.L.C.","San Antonio, TX 78217",
101557,CAL-TEX EXPLORATION & PRODUCTION COMPANY LLC,"San Antonio, TX 78228",19
141373,CENTURA INCORPORATED,"Blue Bell, PA 19422",
147847,"CHESTNUT EXPLOR. AND PROD., INC.","Dallas, TX 75208",
153429,CIMAREX ENERGY CO. OF COLORADO,"Midland, TX 79706",
153446,CIMARRON ENGINEERING CORP.,"Kingsville, TX 78364",
153471,"CIMARRON ENGINEERING, LLC","Kingsville, TX 78364",22
154235,CITATION OIL & GAS CORP.,"Houston, TX 77269",132
161397,CNG PRODUCING COMPANY,"New Orleans, LA 70112",
164455,CODY ENERGY LLC,"Houston, TX 77024",
174000,CONVEST ENERGY CORPORATION,"Houston, TX 77057",
177997,CORDA CORPORATION,"Wichita Falls, TX 76302",24
179825,CORPUS CHRISTI OIL & GAS CO.,"Dallas, TX 75206",
197688,"DALLAS PETROLEUM GROUP, LLC","Dallas, TX 75379",60
216730,"DEVON ENERGY OPERATING CO., L.P.","Oklahoma City, OK 73102",
216748,DEWBRE PETROLEUM CORPORATION,"Corpus Chrsti, TX 78404",80
220861,"DISCOVERY PETROLEUM, L.L.C.","Alice, TX 78333",
222239,"DOMINION EXPL. & PROD., INC.","Houston, TX 77060",
223475,"DORCHESTER EXPLORATION, INC.","Houston, TX 77210",
230719,"DUKE ENERGY FIELD SERVICES, LP","Denver, CO 80202",
235945,DURANGO RESOURCES CORP.,"Houston, TX 77043",13
250195,"EL PASO E & P COMPANY, L. P.","Houston, TX 77002",
250446,EL PASO PRODUCTION OIL & GAS CO.,"Houston, TX 77252",
251955,ENERGY DEVELOPMENT CORP.,"Houston, TX 77067",
252105,"ENERGY SOURCES, INC.","Lubbock, TX 79415",
253250,"ENTERPRISE RESOURCES, INC.","Houston, TX 77002",
253162,"EOG RESOURCES, INC.","Midland, TX 79702",3318
253385,"EP ENERGY E&P COMPANY, L.P.","Houston, TX 77210",
253366,ERIN OIL CO.,"Midland, TX 79707",
254259,"ESENJAY EXPLORATION, INC","Houston, TX 77042",
254254,ESENJAY PETROLEUM CORP.,"Corpus Chrsti, TX 78471",
257097,EXXON CORP.,"Houston, TX 77210",
257128,EXXON MOBIL CORPORATION,"Spring, TX 77389",
261675,"FARGO TRADING CO., INC.","Corpus Chrsti, TX 78403",
263701,"FAULCONER, VERNON E., INC.","Tyler, TX 75711",
266612,FFA PETROLEUM SERVICES,"Victoria, TX 77903",
257172,"FFA PETROLEUM SERVICES, INC.","Boerne, TX 78006",
273611,"FLETCHER OPERATING, LLC","Fairhope, AL 36533",366
273933,"FLINT OAK ENERGY, LLC","Montgomery, TX 77356",23
274030,FLOURNOY PRODUCTION CO.,"Alice, TX 78333",
275741,FOREST OIL PERMIAN CORPORATION,"Houston, TX 77002",
278766,FORTUNE OPERATING COMPANY,"Willis, TX 77378",
278854,"FOSSIL EXPLORATION, INC.","Corpus Chrsti, TX 78418",
