Operator Number,Operator Name,Location,Leases
953592,3TEC ENERGY CORPORATION,"Houston, TX 77002",
856467,84 ENERGY LLC,"Flatonia, TX 78941",141
000555,"A.O.E. OPERATORS, INC.","Fulshear, TX 77441",
001245,ABCO ENERGY CORPORATION,"Houston, TX 77014",
003399,"ACCIDIE EXPLORATION AND DEV.,INC","Plano, TX 75023",
011285,ALCORN PROD CO.,"Victoria, TX 77902",
013298,ALLEE OIL & GAS CO.,"Latexo, TX 75849",
015141,"ALPINE RESOURCES, INC.","Houston, TX 77002",
015730,ALTAIR ENERGY CORP.,"Tyler, TX 75702",
016859,AMAX OIL & GAS INC.,"Fort Worth, TX 76107",
016887,AMBEREX CORPORATION,"Dallas, TX 75231",
016980,AMERADA HESS CORPORATION,"Houston, TX 77252",
017900,"AMERICAN CASCADE ENERGY, INC.","Barker, TX 77413",
018023,AMERICAN EXPLORATION COMPANY,"Houston, TX 77010",
018857,AMERICAN NAT. GAS PROD. CO.,"Houston, TX 77056",
020425,AMOCO PRODUCTION COMPANY,"Houston, TX 77253",
020542,ANADARKO E&P COMPANY LP,"Houston, TX 77251",
020528,ANADARKO E&P ONSHORE LLC,"Houston, TX 77046",940
020572,ANADARKO PETROLEUM CORPORATION,"Houston, TX 77251",
025691,"ANTARA RESOURCES, INC.","Houston, TX 77002",
027200,APACHE CORPORATION,"Houston, TX 77042",1552
027465,"APEXCO, INC.*****","Tulsa, OK 74103",
028698,"AQUINAS OIL & GAS, LLC","Muenster, TX 76252",
028724,ARCADIA EXPL. & PROD. COMPANY,"Kilgore, TX 75663",
028730,ARCADIA REFINING CO.,"Tyler, TX 75701",
029340,ARCO OIL & GAS CO.,"Plano, TX 75086",
031620,ARMOUR PROPERTIES,"Houston, TX 77056",
033521,ARROWHEAD OPERATING INC.,"Argyle, TX 76226",12
033900,ASCENT OIL & GAS CORP.,"Brenham, TX 77833",
035643,"ATASCA RESOURCES, INC.","Houston, TX 77219",
036618,ATROPOS EXPLORATION COMPANY,"Dallas, TX 75225",23
037057,AUSTIN RESOURCES CORPORATION,"Houston, TX 77027",
047129,BALANCE PRODUCTION CORPORATION,"Temple, TX 76503",
049145,"BARBEE, R.L. OPERATING, INC.","Corpus Chrsti, TX 78427",
053321,BARROW-SHAVER RESOURCES CO.,"Tyler, TX 75703",74
053974,"BASA RESOURCES, INC.","Dallas, TX 75254",754
054490,BASIN OPERATING CO. LTD.,"Tyler, TX 75703",
055500,"BATEMAN, THOMAS G.","Houston, TX 77057",
056580,"BAXTER, MURPHY H.","Houston, TX 77002",
060100,BEARD OIL COMPANY,"Oklahoma City, OK 73102",
061750,"BEEHIVE OPERATING, LLC","Graham, TX 76450",74
061763,BEEM OIL & GAS COMPANY,"The Woodlands, TX 77380",
063865,BELLWETHER EXPLORATION COMPANY,"Houston, TX 77010",
064129,BEND PETROLEUM CORP.,"Muenster, TX 76252",
068151,BERRY OIL COMPANY,"Dallas, TX 75219",
069342,BIG CREEK OPERATING COMPANY LLC,"Houston, TX 77065",6
072519,"BISON ENERGY PARTNERS, LTD.","Houston, TX 77060",
075784,"BLOCK ""T"" PETROLEUM, INC.","Tyler, TX 75707",59
075787,"BLOCK T OPERATING, LLC","Dallas, TX 75201",
076389,"BLS RESOURCES, INC.","Rosharon, TX 77583",
076398,"BLSR OPERATING, LTD.","Rosharon, TX 77583",
076848,"BLUEGRASS ENERGY, INC.","Tulsa, OK 74137",
081550,"BOMAR OIL & GAS, INC.","Dallas, TX 75206",
081589,BONANZA PETROLEUM INC.,"Houston, TX 77074",
082570,"BOOHER ENGINEERING, INC.","Tyler, TX 75711",2
083266,BOSCO PETROLEUM LLC,"Muenster, TX 76252",
085330,"BOZEMAN, JOHN F.","Rosenberg, TX 77471",
089959,"BRAZOS RESOURCES, INC.","College Sta, TX 77840",
090870,BRG LONE STAR LTD.,"Tulsa, OK 74136",415
090873,"BRG PETROLEUM, INC.","Tulsa, OK 74136",
093000,BRIGHT HORIZON TEXAS LLC,"Tulsa, OK 74136",
097323,BROOKS PETROLEUM COMPANY,"Tyler, TX 75703",
103003,"BROWNING, LANDON","Brenham, TX 77833",
104287,"BRYANT & CARR, INC.","Tyler, TX 75702",
104795,BRYANT - CHASE ENERGY CORP.,"Tyler, TX 75701",
106406,BUFFCO PRODUCTION INC.,"Longview, TX 75606",163
108799,"BURK ROYALTY CO., LTD.","Wichita Falls, TX 76308",1014
109212,"BURLESON CONTRACTING, L.L.C.","Lovelady, TX 75851",
120035,"C & D PETROLEUM EXPLORATION, INC","Nacogdoches, TX 75963",
121085,"C. W. RESOURCES, INC.","Longview, TX 75604",9
121700,CABOT OIL & GAS CORPORATION,"Houston, TX 77024",
125948,CALPINE NATURAL GAS COMPANY,"Houston, TX 77002",
125946,CALPINE NATURAL GAS COMPANY L.P.,"Houston, TX 77002",
125944,CALPINE NATURAL GAS L.P.,"Houston, TX 77002",
126775,CAMBRIDGE & NAIL,"Amarillo, TX 79109",
126994,"CAMERON ENGINEERING, INC","Montgomery, TX 77356",
130760,"CARD OPERATING COMPANY, INC.","Tyler, TX 75713",
131980,CARLESS RESOURCES (TEXAS) INC.,"Cambridge, OH 43725",
135318,"CARRIZO DRILLING & EXPLR CO, INC","Nacogdoches, TX 75961",
135401,"CARRIZO OIL & GAS, INC.","Houston, TX 77002",
139646,"CASTLE EXPLORATION COMPANY, INC","Blue Bell, PA 19422",
142214,CH-SEON INC.,"Dallas, TX 75251",
142303,"CHALKER ENERGY MANAGEMENT II,LLC","Houston, TX 77002",
143520,"CHAMBERS EXPLORATION, INC.","Houston, TX 77002",
147715,"CHESAPEAKE OPERATING, INC.","Oklahoma City, OK 73154",
147699,"CHESAPEAKE OPERATING, L.L.C.","Oklahoma City, OK 73154",
147862,"CHEVRON MIDCONTINENT, L.P.","Midland, TX 79706",29
148113,CHEVRON U. S. A. INC.,"Midland, TX 79706",868
152910,CHRISTICO PETROLEUM COMPANY,"San Antonio, TX 78216",
154375,CITIES SERVICE OIL & GAS CORP.,"Tulsa, OK 74102",
158286,"CLASSIC OIL & GAS, INC.","Tyler, TX 75701",
163079,COCHISE ENERGY INC.,"Midland, TX 79702",
166061,"COFFMAN, THOMAS D. INC.","Austin, TX 78767",
172230,CONOCO INC.,"Houston, TX 77252",
173799,"CONTRAST ENERGY, LLC","Tulsa, OK 74119",16
174337,COOK EXPLORATION CO.,"Longview, TX 75602",5
178278,"CORDILLERA ENERGY PRTNRS III,LLC","Houston, TX 77056",
188577,"CREEDEX, LLC","Tyler, TX 75702",
189981,CRIMSON EXPLORATION INC.,"Houston, TX 77060",
190005,"CRIMSON EXPLORATION OPER., INC.","Houston, TX 77002",
191250,"CROW, DAVID","Shreveport, LA 71106",
194068,CULVER & CAIN PRODUCTION LLC,"Tyler, TX 75711",30
100917,"Curzac Oil and Gas, LLC","Plano, TX 75075",7
195826,CXY ENERGY INC.,"Dallas, TX 75251",
213559,"DELTA EXPLORATION COMPANY, INC.","Denver, CO 80202",
215479,DENMAN-FRIESEN CO.,"Lufkin, TX 75901",
215935,"DENOVO OIL & GAS, INC.","Houston, TX 77210",
216378,"DEVON ENERGY PRODUCTION CO, L.P.","Oklahoma City, OK 73102",693
216805,"DHW WELL SERVICE, INC.","Carrizo SPGS, TX 78834",
216905,DIAMOND M. DRILLING CO.,"Houston, TX 77027",
221220,DIXON DRILLING COMPANY,"Abilene, TX 79604",
221154,"DIXON EXPLORATION, INC.","Abilene, TX 79604",
223420,"DORALEX ENERGY, INC.","San Angelo, TX 76904",
227525,"DOW CHEMICAL COMPANY, THE","Freeport, TX 77541",
227847,DRACO PRODUCTION COMPANY,"Tulsa, OK 74133",
238958,EAST TEXAS CRUDE OIL CORPORATION,"Tyler, TX 75701",
243208,"EDGE PETROLEUM OPER. CO., INC.","Houston, TX 77042",
247836,ELLIOTT OIL & GAS OPERATING CO.,"Magnolia, TX 77354",
100365,Empire Texas Operating LLC,"Tulsa, OK 74114",25
251691,ENCANA OIL & GAS(USA) INC.,"Denver, CO 80202",
251869,"ENERGY & EXPL. PRTNRS OPER., LP","Fort Worth, TX 76147",
251955,ENERGY DEVELOPMENT CORP.,"Houston, TX 77067",
252138,"ENFIELD OPERATING COMPANY, LLC","Coppell, TX 75019",
253210,"ENSERCH EXPLORATION, INC","Dallas, TX 75206",
