Operator Number,Operator Name,Location,Leases
953682,"3-T EXPLORATION, INC.","Wichita Falls, TX 76308",19
000921,"ABB OIL CO., INC.","Wichita Falls, TX 76310",8
003568,"ACIERTO RESOURCES COMPANY, LLC","Houston, TX 77070",3
015123,ALPHA EXPLORATION CO.,"Wichita Falls, TX 76309",
015138,ALPINE PETROLEUM,"Abilene, TX 79608",
015728,"ALTEX RESOURCES, INC.","Carney, OK 74832",
020452,AMOT OPERATING COMPANY,"Graham, TX 76450",
020535,"AMV OPERATING, INC.","Lawton, OK 73502",
029870,ARGONAUT ENERGY CORPORATION,"New Orleans, LA 70112",
053125,"BARRETT, OLGA PETROLEUM PRODUCER","Abilene, TX 79604",
053950,BARUCH-FOSTER CORPORATION,"Oklahoma City, OK 73126",
054700,BASS ENTERPRISES PRODUCTION CO.,"Fort Worth, TX 76102",
062673,BELCO ENERGY CORP.,"Dallas, TX 75231",
065320,"BENNETT RESOURCES, INC.","Graham, TX 76450",2
066010,"BENTLEY, CHARLES H.","Wichita Falls, TX 76307",
068095,"BERRY, GUS","Okmulgee, OK 74447",
068360,"BETTIS, BOYLE & STOVALL","Graham, TX 76450",
073027,"BLACKBRUSH O & G, INC.","San Antonio, TX 78258",
073059,"BLACKBRUSH O & G, LLC","San Antonio, TX 78259",159
081090,BOLIN OIL COMPANY,"Wichita Falls, TX 76308",
092480,BRIDWELL OIL CO.,"Wichita Falls, TX 76307",128
106406,BUFFCO PRODUCTION INC.,"Longview, TX 75606",163
108800,BURK ROYALTY COMPANY,"Wichita Falls, TX 76308",
110016,"BURNETT OIL CO., INC.","Fort Worth, TX 76102",7
111017,BURNS PETROLEUM,"Wichita Falls, TX 76307",
120587,"C&M OPERATING, INC.","Abilene, TX 79604",
141150,"CENTEX OIL & GAS, INCORPORATED","Dallas, TX 75231",
141590,CENTURION OIL & GAS OP. CO. INC.,"Wichita Falls, TX 76301",
144170,"CHANCE OIL CO., INC.","Vernon, TX 76385",
144410,CHANOCO CORPORATION,"San Antonio, TX 78205",
146661,"CHARTER ENERGY, INC.","Dallas, TX 75211",
147715,"CHESAPEAKE OPERATING, INC.","Oklahoma City, OK 73154",
148260,"CHILDERS, CHARLES M.","Abilene, TX 79605",
149454,"CHISHOLM OPERATING, INC.","Abilene, TX 79606",11
159376,"CLEAR BROOKE RANCHES, LLC","Fort Worth, TX 76179",5
159500,"CLEAR FORK, INCORPORATED","Abilene, TX 79604",31
164448,"CODA ENERGY, INC.","Dallas, TX 75231",
170037,"COMSTOCK ENERGY, LLC","Wichita Falls, TX 76301",16
179445,CORPENING ENTERPRISES,"Fort Worth, TX 76109",
180200,CORVETTE OIL CORPORATION,"Fort Worth, TX 76115",
190940,CROUCH PETROLEUM COMPANY,"Amarillo, TX 79110",
221662,"D.L.B. OIL & GAS, INC.","Oklahoma City, OK 73118",
200625,DARNELL ENGINEERING CORP.,"Kingwood, TX 77325",
209380,"DECLEVA, PAUL","Wichita Falls, TX 76302",
212175,"DELFIN OPERATING, LLC","Dallas, TX 75243",15
216517,DERRICK PETROLEUM INC.,"Odessa, TX 79761",
229350,DRY FORK PRODUCTION CO,"Wichita Falls, TX 76301",
229319,"DRY FORK PRODUCTION CO., LLC","Wichita Falls, TX 76307",30
238207,"E.L.A., INC.","Abilene, TX 79603",
238632,"EAGLE EXPLORATION CO., INC.","Amarillo, TX 79105",
248855,"ELLIS, KEN OIL CO.","Wichita Falls, TX 76308",
251700,"EN GEO, INC.","Richardson, TX 75081",
253075,"ENR OPERATING, LLC","Eunice, NM 88231",8
253210,"ENSERCH EXPLORATION, INC","Dallas, TX 75206",
253368,ENTERPRISE PRODUCTS OPERATINGLLC,"Houston, TX 77210",
253275,EP OPERATING COMPANY,"Dallas, TX 75201",
254341,ESPER OIL CORP.,"Arlington, TX 76006",
256931,"EXCO RESOURCES, INC.","Dallas, TX 75251",
256950,"EXECUTIVE PROPERTIES, INC.","Amarillo, TX 79110",
257097,EXXON CORP.,"Houston, TX 77210",
260268,FALCON PRODUCTION LLC,"Austin, TX 78715",1
263096,FARMERS OIL AND GAS EXPLORATION,"Big Spring, TX 79721",
